circuit,pixel,scan,x_intercept
t9t10,1000,avg1,0.571738110113841
t9t10,1000,avg2,0.765173520039923
t9t10,1000,avg2,0.14350621239015
t9t10,1000,avg3,0.954677232014092
t9t10,1000,avg3,0.3292822171598
t9t10,1000,avg4,1.04430608224297
t9t10,1000,avg4,0.385265565364335
t9t10,1000,avg5,1.01812205162105
t9t10,1000,avg5,0.358199689027089
t9t10,1001,avg1,0.476168778095627
t9t10,1001,avg2,0.983649289099532
t9t10,1001,avg2,0.372497564874266
t9t10,1001,avg3,0.596117309036316
t9t10,1001,avg4,0.596387587751536
t9t10,1001,avg5,0.866516185862139
t9t10,1001,avg5,0.216340462616643
t9t10,1002,avg1,0.64783458585859
t9t10,1002,avg1,0.021435750179478
t9t10,1002,avg2,1.07617283950617
t9t10,1002,avg2,0.4302785203908
t9t10,1002,avg3,0.741436595842515
t9t10,1002,avg3,0.0447232193463094
t9t10,1002,avg4,0.828431281813977
t9t10,1002,avg4,0.155486828959482
t9t10,1002,avg5,1.0909756097561
t9t10,1002,avg5,0.448852001614597
t9t10,1003,avg1,0.99881022892751
t9t10,1003,avg1,0.332635199328308
t9t10,1003,avg2,1.02437109277321
t9t10,1003,avg2,0.349929478138222
t9t10,1003,avg3,0.845088263897765
t9t10,1003,avg3,0.198563404157511
t9t10,1003,avg4,0.537736506750832
t9t10,1003,avg5,0.942477414240187
t9t10,1003,avg5,0.325253564950657
t9t10,1004,avg1,0.915041212923427
t9t10,1004,avg1,0.287598122477306
t9t10,1004,avg2,0.894541291137045
t9t10,1004,avg2,0.187973927534273
t9t10,1004,avg3,1.096469321553
t9t10,1004,avg3,0.495985310338369
t9t10,1004,avg4,0.725210323387387
t9t10,1004,avg4,0.100155040728822
t9t10,1004,avg5,0.555622241587713
t9t10,1005,avg1,1.0343474963619
t9t10,1005,avg1,0.407070748862253
t9t10,1005,avg2,0.84575675457512
t9t10,1005,avg2,0.224863852657677
t9t10,1005,avg3,1.04306463311232
t9t10,1005,avg3,0.395818125399984
t9t10,1005,avg4,0.900198183057739
t9t10,1005,avg4,0.286568349891041
t9t10,1005,avg5,0.806912681313889
t9t10,1005,avg5,0.227286799221474
t9t10,1006,avg1,0.559653377478924
t9t10,1006,avg2,1.04890798324541
t9t10,1006,avg2,0.439601847278084
t9t10,1006,avg3,0.897073170731687
t9t10,1006,avg3,0.256259193190004
t9t10,1006,avg4,0.772800885079704
t9t10,1006,avg4,0.149036783314926
t9t10,1006,avg5,1.07973378108727
t9t10,1006,avg5,0.449421361885754
t9t10,1007,avg1,1.11490376611681
t9t10,1007,avg1,0.492336968054161
t9t10,1007,avg2,0.546957218491997
t9t10,1007,avg3,0.640934308751667
t9t10,1007,avg4,0.591217893288189
t9t10,1007,avg5,0.721857769190763
